number,question,choiceA,choiceB,choiceC,choiceD,correct_answer,explanation
2,Salesforceのエコシステムにおいて、Data Cloudは顧客データを統合し、インサイトを生成する中心的な役割を担います。Marketing Cloud Engagementが主に顧客とのコミュニケーション実行（メール送信、ジャーニー実行など）を担うのに対し、Data Cloudが提供する主要な価値として最も適切なものはどれでしょうか？,Eメールテンプレートの作成とA/Bテスト機能,複数のソースからの顧客データを統合し、統一プロファイルを作成する機能,Webサイトやランディングページの作成機能,リードスコアリングと営業担当への自動割り当て機能,B,"A. Eメールテンプレートの作成とA/Bテスト機能 - これは、Eメールマーケティングキャンペーンを実行するためのMarketing Cloud Engagementなどのマーケティングオートメーションツールが提供する典型的な機能です。Data Cloudの主要な価値ではありません。

B. 複数のソースからの顧客データを統合し、統一プロファイルを作成する機能 - 正解です。Data Cloud（Customer Data Platform）の最も基本的な価値は、CRM、マーケティングツール、Eコマースサイト、サービス履歴など、企業内外のサイロ化されたデータソースから顧客データを集約し、アイデンティティ解決を通じて顧客一人ひとりの統一されたプロファイル（単一顧客ビュー）を構築することにあります。

C. Webサイトやランディングページの作成機能 - Webサイトやランディングページの作成は、Experience CloudやMarketing Cloud EngagementのWeb Studioなどの機能によって提供されます。Data Cloudの機能ではありません。

D. リードスコアリングと営業担当への自動割り当て機能 - リード（見込み顧客）のスコアリングや営業への割り当ては、主にMarketing Cloud Account Engagement（旧Pardot）やSales Cloudのリード管理機能が担います。Data Cloudで生成されたインサイトをこれらのプロセスで活用することは可能ですが、機能自体を提供するわけではありません。"
3,Data Cloudのアイデンティティ解決プロセスでは、マッチルールによって同一人物と特定された複数のソースレコードから、統合プロファイルにどのデータソースのどの項目値を採用するかを決定する必要があります。例えば、メールアドレスについてCRMの情報とWeb会員登録の情報がある場合、どちらを優先するかを定義するルールは何と呼ばれますか？,調整ルール,マッチルール,データストリームルール,セグメンテーションルール,A,"A. 調整ルール - 正解です。調整ルールは、アイデンティティ解決プロセスにおいて、複数のソースレコードに同じ項目（例：メールアドレス、電話番号）が存在し、その値が異なる場合に、どのデータソースの値を統合プロファイルの該当項目値として採用するかを決定するためのルールセットです。優先順位付けのロジック（例：最後に更新された値を優先、特定のデータソースを優先など）を定義します。

B. マッチルール - マッチルールは、異なるデータソースから取り込まれたレコードが、同じ個人や組織を表しているかどうかを識別するための基準（例：メールアドレスの完全一致、氏名と郵便番号の組み合わせ一致など）を定義するルールです。どの値を採用するかの優先順位を決めるものではありません。

C. データストリームルール - データストリームに関連するルールは、通常、データの取り込み頻度、フィルタリング、初期的な変換などを指します。統合プロファイルの項目値の優先順位付けを行うものではありません。

D. セグメンテーションルール - セグメンテーションルールは、統合された顧客プロファイルの中から、特定のマーケティングキャンペーンや分析の対象となる顧客グループを抽出するための条件を定義するルールです。"
4,Data Cloudに様々なソースからデータを取り込む際、データの品質を確保し、後続のアイデンティティ解決や分析の精度を高めることが重要です。データ取り込みプロセスにおいて、データ品質を維持・向上させるためにコンサルタントが考慮すべき点や利用できる機能として適切なものはどれでしょうか？（２つ選択）,アイデンティティ解決のマッチルールを可能な限り緩く設定する。,Data Cloudの数式（Formula）機能を利用してデータ形式を標準化する。,取り込み対象から欠損値や異常値が多い項目を除外することを検討する。,取り込むデータ項目のデータ型（テキスト、数値、日付など）を適切に定義する。,"B,D","A. アイデンティティ解決のマッチルールを可能な限り緩く設定する。 - マッチルールを緩く設定しすぎると、本来は異なる個人を示すレコードが誤って統合されてしまうリスクが高まり、統合プロファイルのデータ品質を低下させる可能性があります。適切なバランスが必要です。

B. Data Cloudの数式（Formula）機能を利用してデータ形式を標準化する。 - 正解です。データストリームのデータマッピングプロセスでは、数式フィールドを作成して、取り込むデータの値を変換したり、形式を統一したり（例：日付形式の標準化、空白の除去、大文字/小文字の統一）することができます。これはデータの一貫性を高め、品質を向上させる有効な手段です。

C. 取り込み対象から欠損値や異常値が多い項目を除外することを検討する。 - データ品質が極端に低い項目を取り込まないという選択肢もありますが、可能な限りデータを活用するためには、取り込んだ上でクレンジングや補完を行う方が望ましい場合もあります。品質を「維持・向上させる」積極的な手段とは言い切れない場合があります。

D. 取り込むデータ項目のデータ型（テキスト、数値、日付など）を適切に定義する。 - 正解です。データソースオブジェクト（DSO）およびデータモデルオブジェクト（DMO）で項目を定義する際に、そのデータの内容に合った適切なデータ型（テキスト、数値、日付、日時、真偽値など）を選択することは、データの整合性を保証し、後続の計算や分析でエラーを防ぐための基本的なデータ品質管理プラクティスです。"
5,Data Cloudは、CRMデータ、行動データ、トランザクションデータなど、様々な種類の顧客データを統合できます。顧客が自らの意思で、アンケート回答やプロファイル更新、プリファレンス設定などを通じて企業に直接提供するデータのことを、一般的に何と呼びますか？,ファーストパーティデータ,セカンドパーティデータ,ゼロパーティデータ,サードパーティデータ,C,"A. ファーストパーティデータ - ファーストパーティデータは、企業が顧客との直接的なやり取り（例：自社ウェブサイトでの行動、CRM内の情報、購入履歴）を通じて収集するデータです。顧客が自発的に提供するゼロパーティデータとは区別されます。

B. セカンドパーティデータ - セカンドパーティデータは、信頼できる他の企業が収集したファーストパーティデータを、パートナーシップや直接的な契約を通じて取得したデータです。

C. ゼロパーティデータ - 正解です。ゼロパーティデータは、顧客が意図的かつ自発的に企業に対して直接提供するデータです。これには、アンケートへの回答、設定した好み（プリファレンス）、プロファイル情報などが含まれ、顧客の明確な意図や関心を反映しています。

D. サードパーティデータ - サードパーティデータは、そのデータを直接収集した企業以外（データアグリゲーターなど）から購入される、複数のソースから集められた大規模なデータセットです。通常、顧客と企業との間に直接的な関係はありません。"
6,Universal Containersは、Data Cloudで特定条件を満たした顧客（例：計算済みインサイトで「解約リスク高」と判定された顧客）に対して、自動的にSalesforce Sales Cloud上でフォローアップのToDoを作成したり、Service Cloudで優先度の高いケースを作成したりするような、プロアクティブなアクションを実行したいと考えています。Data Cloudのデータを起点として、他のSalesforceアプリケーションでこのような自動化プロセスを起動するために利用できる主なメカニズムは何でしょうか？（２つ選択）,Data Cloudトリガーによるフロー起動,ApexトリガーをData Cloudオブジェクトに直接設定,Data Cloudデータを活用したジャーニービルダー連携（Marketing Cloud Engagement）,Data Cloudからの手動データエクスポートとインポート,"A,C","A. Data Cloudトリガーによるフロー起動 - 正解です。Data Cloudでは、特定のイベント（例：セグメントへのメンバー追加、計算済みインサイトの値が閾値を超える）をトリガーとして、Salesforce Platformのフローを自動的に起動する設定が可能です。このフロー内で、ToDoの作成、ケースの作成、カスタム通知の送信など、様々な自動化アクションを実行できます。

B. ApexトリガーをData Cloudオブジェクトに直接設定 - Data Cloudが内部で使用するオブジェクトに対して、標準のSalesforceオブジェクトと同様に直接Apexトリガーを作成・設定することは、一般的にはサポートされておらず、推奨される実装方法ではありません。自動化にはフロー連携などを利用します。

C. Data Cloudデータを活用したジャーニービルダー連携（Marketing Cloud Engagement） - 正解です。Data Cloudで作成したセグメントやインサイトをMarketing Cloud Engagementのジャーニーのエントリーソースとして使用できます。ジャーニービルダー内のステップとして、メール送信だけでなく、SalesforceのToDo作成やケース作成などのアクティビティを実行させることが可能です。

D. Data Cloudからの手動データエクスポートとインポート - データを手動でエクスポートし、他のシステムにインポートする方法では、リアルタイム性や自動化の要件を満たすことができません。これはプロアクティブな自動アクションを実行するためのメカニズムではありません。"
7,Data Cloudにデータを取り込む際、データソースの種類や連携方法に応じて適切なデータストリームタイプを選択する必要があります。Amazon S3バケットに定期的にアップロードされるCSVファイルからバッチでデータを取り込みたい場合、コンサルタントはどのデータストリームタイプを選択することを推奨すべきでしょうか？,Salesforce CRM,Web and Mobile Application,Ingestion API,Cloud Storage,D,"A. Salesforce CRM - このデータストリームタイプは、Salesforce Sales CloudやService Cloudなど、同じSalesforce Platform上の組織からデータを取り込むために使用されます。Amazon S3からのファイル取り込みには適していません。

B. Web and Mobile Application - このデータストリームタイプは、Webサイトやモバイルアプリケーションに組み込んだSDKを通じて、ユーザーの行動イベントなどをリアルタイムに近い形で収集するために使用されます。S3からのバッチファイル取り込みには使用されません。

C. Ingestion API - Ingestion APIデータストリームは、APIコールを通じて外部システムからプログラム的にデータをData Cloudに送信する場合に使用されます。S3バケットからファイルを定期的に読み込む用途には通常、Cloud Storageタイプがより適しています。

D. Cloud Storage - 正解です。Cloud Storageデータストリームタイプは、Amazon S3、Google Cloud Storage (GCS)、Microsoft Azure Blob Storageなどの外部クラウドストレージに配置されたデータファイル（CSV形式やParquet形式など）を検出し、スケジュールに基づいてバッチ処理でData Cloudに取り込むために設計されています。"
8,Universal Containersは、Data Cloudで「毎週日曜日の夜間に最新のデータに基づいて更新される、ロイヤル顧客セグメント」を作成し、その結果をMarketing Cloud Engagementに連携したいと考えています。セグメントのメンバーシップを定期的に再計算し、最新の状態をアクティベーションターゲットに反映させるためには、どの設定を行う必要がありますか？,アイデンティティ解決の実行スケジュール,セグメントの公開スケジュール,データストリームの更新スケジュール,計算済みインサイトの更新スケジュール,B,"A. アイデンティティ解決の実行スケジュール - アイデンティティ解決のスケジュールは、データソースから取り込まれたレコードを統合プロファイルにまとめるプロセスの実行頻度を定義します。セグメントのメンバーシップを計算し公開するスケジュールとは異なります。

B. セグメントの公開スケジュール - 正解です。セグメントを作成した後、そのセグメントの定義に基づいて対象となる顧客プロファイルを評価し、結果を利用可能にするプロセスを「公開（Publish）」と呼びます。この公開処理を定期的に（例：毎日、毎週日曜日など）実行するようにスケジュールを設定することで、セグメントのメンバーシップを最新の状態に保ち、アクティベーションターゲットで利用できるようになります。

C. データストリームの更新スケジュール - データストリームの更新スケジュールは、外部のデータソースからData Cloudへ新しいデータや更新されたデータを取り込む頻度を定義します。セグメントの計算・公開スケジュールとは直接異なります。

D. 計算済みインサイトの更新スケジュール - 計算済みインサイトの更新スケジュールは、定義された計算ロジックに基づいてインサイトの値を再計算する頻度を定義します。セグメントの条件に計算済みインサイトが含まれている場合、このスケジュールも関連しますが、セグメント自体の公開スケジュールとは別の設定です。"
9,Data Cloudのアイデンティティ解決プロセスが完了すると、複数のソースシステムからの顧客データが統合され、顧客一人ひとりを表す単一のレコードが生成されます。この統合された顧客レコードはData Cloud内で何と呼ばれますか？,統合個人プロファイル (Unified Individual Profile),データソースオブジェクト (DSO),アクティベーションターゲット,データレイクハウス (Data Lakehouse),A,"A. 統合個人プロファイル (Unified Individual Profile) - 正解です。アイデンティティ解決プロセスは、様々なデータソースから得られた、同一人物に関連すると思われる複数のレコードを照合・統合し、その結果として「統合個人プロファイル」を作成します。これは、その顧客に関する情報を集約した、単一の包括的なレコードです。

B. データソースオブジェクト (DSO) - DSOは、データストリームを通じて各データソースから取り込まれたデータを、元のスキーマに近い形で保持するオブジェクトです。アイデンティティ解決によって統合された結果のレコードではありません。

C. アクティベーションターゲット - アクティベーションターゲットは、Data Cloudで作成されたセグメントやインサイトを送信する対象となる外部システム（例：Marketing Cloud Engagement）や場所（例：S3バケット）を定義するものです。顧客レコードそのものではありません。

D. データレイクハウス (Data Lakehouse) - データレイクハウスは、Data Cloudが採用しているデータ管理アーキテクチャの概念であり、構造化データと非構造化データの両方を柔軟に格納・分析できる特徴を持ちます。統合された顧客レコード自体を指す用語ではありません。"
10,Universal Containersは、Data Cloudで作成した顧客セグメントのサイズ推移や、計算済みインサイト（例：顧客LTV）の分布状況などを分析し、ダッシュボードで可視化したいと考えています。Data Cloudのデータを利用してこれらの分析や可視化を行うための主な方法として、適切なものを2つ選択してください。（２つ選択）,データストリーム設定画面で分析グラフを確認する。,アクティベーションを設定して外部BIツールにデータを送信する。,CRM Analytics（旧Tableau CRM）を活用してData Cloudデータを分析・可視化する。,Tableauを使用してData Cloudに接続し、高度な分析やダッシュボードを作成する。,"C,D","A. データストリーム設定画面で分析グラフを確認する。 - データストリーム画面では、データの取り込み状況やエラーなどを確認できますが、セグメントサイズの推移や計算済みインサイトの詳細な分布状況を分析・可視化する機能は提供されていません。

B. アクティベーションを設定して外部BIツールにデータを送信する。 - アクティベーションは主にセグメントのメンバーリストなどを外部システムに連携させるための機能です。分析に必要な詳細なデータを外部BIツールに送る一般的な方法ではなく、他の連携手段（例：Tableau接続、データ共有）が推奨されることが多いです。

C. CRM Analytics（旧Tableau CRM）を活用してData Cloudデータを分析・可視化する。 - 正解です。CRM AnalyticsはSalesforceプラットフォーム上で動作する高度な分析ツールであり、Data Cloudのデータモデルオブジェクト（DMO）や計算済みインサイトオブジェクト（CIO）に接続してデータを取得し、複雑なデータ分析やインタラクティブなダッシュボードを作成することができます。

D. Tableauを使用してData Cloudに接続し、高度な分析やダッシュボードを作成する。 - 正解です。TableauはData Cloudへの専用コネクタを提供しており、Tableau DesktopやTableau CloudからData Cloudのデータに直接接続できます。これにより、Data Cloudの統合されたデータを活用して、高度なビジュアル分析やカスタムダッシュボードの作成が可能になります。

ここから先は有料部分です"
11,Data Cloudのデータモデリングでは、取り込んだデータを意味のあるカテゴリに分類します。顧客のWebサイト訪問履歴、メールの開封・クリック、モバイルアプリの利用状況など、顧客が企業とどのように関わっているかを示すインタラクションデータは、主にどのデータモデルカテゴリに分類されますか？,プロファイルデータ (Profile Data),エンゲージメントデータ (Engagement Data),その他データ (Other Data),データソースデータ (Data Source Data),B,"A. プロファイルデータ (Profile Data) - プロファイルデータカテゴリには、顧客の氏名、連絡先情報、住所、生年月日など、顧客自身を説明する比較的静的な属性情報が含まれます。顧客の行動やインタラクションデータは通常ここには分類されません。

B. エンゲージメントデータ (Engagement Data) - 正解です。エンゲージメントデータカテゴリは、顧客が企業やブランドとどのように関与・対話したかを示す時間ベースの行動データを格納します。具体的には、Webサイトの閲覧履歴、Eメールの開封やクリック、モバイルアプリの利用ログ、ソーシャルメディアでの「いいね」やコメントなどが含まれます。

C. その他データ (Other Data) - その他データカテゴリは、プロファイルデータやエンゲージメントデータ以外の、コンテキスト情報や参照情報として利用されるデータを格納します。例えば、製品カタログ情報、店舗の所在地リスト、外部の気象データなどが該当します。

D. データソースデータ (Data Source Data) - データソースデータという公式なデータモデルカテゴリはありません。Data Cloudではデータソースオブジェクト(DSO)がデータソースからの生のデータを保持しますが、これはモデリングにおけるカテゴリ分類とは異なります。"
